Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
66	-2.71863e-20	3.59499	0.09987	3.13692	191.082	0.000125339	0.000166353	4.62717e-06	10.2231	2.17698e-08	2.33071e-05	0.558106	304.67	0.0723033	0.0462686	49.2465	0.226385	2.9364e-05	0.257569	0.000643244	4.36404e-09	4.271e-09	2.56319e-08	0.00115254	0.0644226	0.0731875	0.0740944	0.0750249
67	-1.06639e-20	3.53945	0.0998719	3.09081	191.273	0.000123499	0.000162016	4.57724e-06	10.0874	2.12184e-08	2.29048e-05	0.548683	304.676	0.071033	0.0457695	49.3909	0.223112	2.87638e-05	0.252699	0.000633598	4.2415e-09	4.0803e-09	2.47615e-08	0.00115476	0.0634551	0.0718854	0.0727591	0.0736552
68	-3.85158e-21	3.48557	0.0998737	3.04602	191.458	0.000121711	0.000157863	4.52886e-06	9.95643	2.06899e-08	2.25165e-05	0.539583	304.682	0.0698075	0.0452857	49.5302	0.21993	2.81881e-05	0.248013	0.000624238	4.12462e-09	3.90134e-09	2.39396e-08	0.00115689	0.0625163	0.0706297	0.0714722	0.0723357
69	-1.55815e-21	3.43326	0.0998755	3.00251	191.637	0.000119974	0.000153883	4.48194e-06	9.83007	2.01831e-08	2.21414e-05	0.530788	304.688	0.0686246	0.0448167	49.6646	0.216836	2.76354e-05	0.243503	0.00061515	4.01306e-09	3.73321e-09	2.31626e-08	0.00115893	0.0616048	0.0694181	0.0702309	0.0710637
70	-8.34381e-22	3.38247	0.0998772	2.96021	191.809	0.000118286	0.000150067	4.43643e-06	9.70806	1.96967e-08	2.17788e-05	0.522283	304.693	0.0674819	0.0443616	49.7944	0.213827	2.71043e-05	0.239158	0.000606324	3.90649e-09	3.57508e-09	2.24271e-08	0.00116091	0.0607196	0.0682483	0.069033	0.0698366
71	-4.47265e-22	3.33312	0.0998789	2.91909	191.977	0.000116644	0.000146405	4.39226e-06	9.59019	1.92297e-08	2.14283e-05	0.514055	304.699	0.0663775	0.04392	49.9199	0.210899	2.65938e-05	0.23497	0.000597748	3.8046e-09	3.4262e-09	2.17301e-08	0.0011628	0.0598595	0.0671182	0.0678762	0.0686522
72	-1.88034e-22	3.28515	0.0998806	2.87909	192.138	0.000115048	0.000142889	4.34937e-06	9.47629	1.8781e-08	2.10891e-05	0.50609	304.704	0.0653096	0.0434913	50.0411	0.20805	2.61025e-05	0.23093	0.000589411	3.70711e-09	3.28589e-09	2.10689e-08	0.00116463	0.0590236	0.0660257	0.0667584	0.0675081
73	-2.55416e-23	3.23852	0.0998822	2.84017	192.295	0.000113494	0.000139512	4.30771e-06	9.36615	1.83497e-08	2.07607e-05	0.498375	304.709	0.0642762	0.0430748	50.1583	0.205275	2.56294e-05	0.22703	0.000581305	3.61377e-09	3.15352e-09	2.0441e-08	0.0011664	0.0582107	0.0649691	0.0656776	0.0664024
74	4.59848e-23	3.19316	0.0998837	2.80228	192.447	0.000111981	0.000136265	4.26723e-06	9.25962	1.79348e-08	2.04426e-05	0.490898	304.713	0.0632757	0.04267	50.2717	0.202573	2.51736e-05	0.223263	0.000573419	3.52434e-09	3.02854e-09	1.9844e-08	0.0011681	0.0574199	0.0639465	0.0646321	0.0653332
75	3.82528e-23	3.14902	0.0998852	2.7654	192.594	0.000110509	0.000133142	4.22787e-06	9.15652	1.75355e-08	2.01343e-05	0.483649	304.718	0.0623067	0.0422765	50.3815	0.19994	2.47341e-05	0.219622	0.000565746	3.4386e-09	2.91042e-09	1.9276e-08	0.00116974	0.0566505	0.0629563	0.0636201	0.0642986
